state_spaces:  {'first_0': Box(0.0, 1.0, (128,), float32), 'second_0': Box(0.0, 1.0, (128,), float32)} ,  action_spaces:  {'first_0': Discrete(18), 'second_0': Discrete(18)}
['first_0', 'second_0']
[80, 120, 340, 460, 480, 500, 520, 540, 560, 640, 660, 680, 700, 720, 740, 760, 800, 820, 840, 860, 880, 900, 1000, 1020, 1040, 1060, 1080, 1100, 1120, 1140, 1180, 1200, 1220, 1260, 1280, 1300, 1320, 1340, 1360, 1380, 1400, 1420, 1440, 1460, 1480, 1500, 1520, 1560, 1580, 1600, 1620, 1640, 1660, 1680, 1700, 1720, 1740, 1760, 1780, 1800, 1820, 1840, 1860, 1880, 1900, 1920, 1940, 1960, 1980, 2000, 2020, 2040, 2060, 2080, 2100, 2120, 2140, 2160, 2180, 2200, 2220, 2240, 2260, 2280, 2300, 2320, 2340, 2360, 2380, 2400, 2420, 2440, 2460, 2480, 2500, 2520, 2540, 2560, 2600, 2620, 2640, 2660, 2680, 2700, 2720, 2740, 2760, 2780, 2800, 2820, 2840, 2860, 2880, 2900, 2920, 2940, 2960, 2980, 3000, 3020, 3040, 3060, 3080, 3100, 3120, 3140, 3160, 3180, 3200, 3220, 3240, 3260, 3280, 3300, 3340, 3360, 3380, 3400, 3420, 3440, 3460, 3480, 3500, 3520, 3540, 3560, 3580, 3600, 3620, 3640, 3660, 3680, 3700, 3720, 3740, 3760, 3780, 3800, 3820, 3840, 3860, 3880, 3900, 3920, 3940, 3960, 3980, 4000, 4020, 4080, 4100, 4120, 4140, 4160, 4180]
load model:  80 80mappo_single_1
model/pong_v1/selfplay/80mappo_single_1
# of episode :0
exploiter avg. score: -0.55, avg. epi length: 1248
# of episode :20
exploiter avg. score: -2.25, avg. epi length: 1327
# of episode :40
exploiter avg. score: 12.1, avg. epi length: 1009
# of episode :60
exploiter avg. score: 6.55, avg. epi length: 1074
# of episode :80
exploiter avg. score: 13.95, avg. epi length: 976
# of episode :100
exploiter avg. score: 8.95, avg. epi length: 1026
# of episode :120
exploiter avg. score: 16.35, avg. epi length: 846
# of episode :140
exploiter avg. score: 13.65, avg. epi length: 932
# of episode :160
exploiter avg. score: 16.65, avg. epi length: 884
# of episode :180
exploiter avg. score: 12.95, avg. epi length: 1033
# of episode :200
exploiter avg. score: 16.65, avg. epi length: 964
# of episode :220
exploiter avg. score: 17.4, avg. epi length: 915
# of episode :240
exploiter avg. score: 13.25, avg. epi length: 1065
# of episode :260
exploiter avg. score: 12.5, avg. epi length: 1003
# of episode :280
exploiter avg. score: 14.25, avg. epi length: 983
# of episode :300
exploiter avg. score: 17.8, avg. epi length: 886
# of episode :320
exploiter avg. score: 12.15, avg. epi length: 969
# of episode :340
exploiter avg. score: 11.4, avg. epi length: 1036
# of episode :360
exploiter avg. score: 16.8, avg. epi length: 947
# of episode :380
exploiter avg. score: 16.3, avg. epi length: 903
# of episode :400
exploiter avg. score: 16.75, avg. epi length: 871
# of episode :420
exploiter avg. score: 15.7, avg. epi length: 940
# of episode :440
exploiter avg. score: 18.55, avg. epi length: 838
# of episode :460
exploiter avg. score: 17.5, avg. epi length: 825
# of episode :480
