state_spaces:  {'first_0': Box(0.0, 1.0, (128,), float32), 'second_0': Box(0.0, 1.0, (128,), float32)} ,  action_spaces:  {'first_0': Discrete(18), 'second_0': Discrete(18)}
['first_0', 'second_0']
[3, 6, 20, 60, 80, 440, 540, 560, 1000, 1020, 1080, 1100, 1120, 1140, 1160, 1180, 1200, 1260, 1280, 1300, 1320, 1340, 1360, 1380, 1740, 1760, 1780, 1800, 1820, 1840, 1860, 1880, 1900, 1920, 1960, 1980, 2000, 2020, 2040, 4200, 4220, 4300, 4320, 4620, 5060]
load model:  3 3mappo_single_1
model/boxing_v1/selfplay/3mappo_single_1
# of episode :0
exploiter avg. score: -0.2, avg. epi length: 1784
# of episode :20
exploiter avg. score: -1.85, avg. epi length: 1784
# of episode :40
exploiter avg. score: -0.85, avg. epi length: 1784
# of episode :60
exploiter avg. score: -1.85, avg. epi length: 1784
# of episode :80
exploiter avg. score: -3.05, avg. epi length: 1784
# of episode :100
exploiter avg. score: -2.55, avg. epi length: 1784
# of episode :120
exploiter avg. score: 1.2, avg. epi length: 1784
# of episode :140
exploiter avg. score: -1.2, avg. epi length: 1784
# of episode :160
exploiter avg. score: -0.8, avg. epi length: 1784
# of episode :180
exploiter avg. score: -0.35, avg. epi length: 1784
# of episode :200
exploiter avg. score: 0.55, avg. epi length: 1784
# of episode :220
exploiter avg. score: -3.9, avg. epi length: 1784
# of episode :240
exploiter avg. score: 0.3, avg. epi length: 1784
# of episode :260
exploiter avg. score: -0.8, avg. epi length: 1784
# of episode :280
exploiter avg. score: -0.25, avg. epi length: 1784
# of episode :300
exploiter avg. score: 0.55, avg. epi length: 1784
# of episode :320
exploiter avg. score: -1.45, avg. epi length: 1784
# of episode :340
exploiter avg. score: -0.9, avg. epi length: 1784
# of episode :360
exploiter avg. score: -0.2, avg. epi length: 1784
# of episode :380
exploiter avg. score: -0.35, avg. epi length: 1784
# of episode :400
exploiter avg. score: -3.1, avg. epi length: 1784
# of episode :420
exploiter avg. score: -2.15, avg. epi length: 1784
# of episode :440
exploiter avg. score: 0.15, avg. epi length: 1784
# of episode :460
exploiter avg. score: -1.15, avg. epi length: 1784
# of episode :480
exploiter avg. score: -0.55, avg. epi length: 1784
# of episode :500
exploiter avg. score: -0.65, avg. epi length: 1784
# of episode :520
exploiter avg. score: -0.85, avg. epi length: 1784
# of episode :540
exploiter avg. score: 1.0, avg. epi length: 1784
# of episode :560
exploiter avg. score: -0.25, avg. epi length: 1784
# of episode :580
exploiter avg. score: -0.25, avg. epi length: 1784
# of episode :600
exploiter avg. score: 0.25, avg. epi length: 1784
# of episode :620
exploiter avg. score: -1.7, avg. epi length: 1784
# of episode :640
exploiter avg. score: -0.65, avg. epi length: 1784
# of episode :660
exploiter avg. score: -1.15, avg. epi length: 1784
# of episode :680
exploiter avg. score: -0.75, avg. epi length: 1784
# of episode :700
exploiter avg. score: -0.25, avg. epi length: 1784
# of episode :720
exploiter avg. score: -0.05, avg. epi length: 1784
# of episode :740
exploiter avg. score: -2.25, avg. epi length: 1784
# of episode :760
exploiter avg. score: -0.9, avg. epi length: 1784
# of episode :780
exploiter avg. score: -1.35, avg. epi length: 1784
# of episode :800
exploiter avg. score: -1.5, avg. epi length: 1784
# of episode :820
exploiter avg. score: -3.6, avg. epi length: 1784
# of episode :840
exploiter avg. score: -0.05, avg. epi length: 1784
# of episode :860
exploiter avg. score: -1.75, avg. epi length: 1784
# of episode :880
exploiter avg. score: -2.0, avg. epi length: 1784
# of episode :900
exploiter avg. score: 1.1, avg. epi length: 1784
# of episode :920
exploiter avg. score: -0.05, avg. epi length: 1784
# of episode :940
exploiter avg. score: -0.15, avg. epi length: 1784
# of episode :960
exploiter avg. score: -0.7, avg. epi length: 1784
# of episode :980
exploiter avg. score: -0.75, avg. epi length: 1784
Final score: -0.75, episode length: 1784
load model:  6 6mappo_single_1
model/boxing_v1/selfplay/6mappo_single_1
# of episode :0
exploiter avg. score: 0.0, avg. epi length: 1784
# of episode :20
exploiter avg. score: -0.25, avg. epi length: 1784
# of episode :40
exploiter avg. score: 0.0, avg. epi length: 1784
# of episode :60
exploiter avg. score: -1.3, avg. epi length: 1784
# of episode :80
exploiter avg. score: 0.05, avg. epi length: 1784
# of episode :100
exploiter avg. score: 0.3, avg. epi length: 1784
# of episode :120
exploiter avg. score: 0.15, avg. epi length: 1784
# of episode :140
exploiter avg. score: -1.9, avg. epi length: 1784
# of episode :160
exploiter avg. score: 0.45, avg. epi length: 1784
# of episode :180
exploiter avg. score: -0.15, avg. epi length: 1784
# of episode :200
exploiter avg. score: -2.1, avg. epi length: 1784
# of episode :220
exploiter avg. score: 1.9, avg. epi length: 1784
# of episode :240
exploiter avg. score: 0.45, avg. epi length: 1784
# of episode :260
exploiter avg. score: -1.4, avg. epi length: 1784
# of episode :280
exploiter avg. score: -2.5, avg. epi length: 1784
# of episode :300
exploiter avg. score: -1.2, avg. epi length: 1784
# of episode :320
exploiter avg. score: -0.3, avg. epi length: 1784
# of episode :340
exploiter avg. score: -0.5, avg. epi length: 1784
# of episode :360
exploiter avg. score: -1.05, avg. epi length: 1784
# of episode :380
